,City,app_temp,clouds,clouds_hi,clouds_low,clouds_mid,datetime,dewpt,dhi,dni,ghi,ozone,pod,pop,precip,pres,rh,slp,snow,snow_depth,solar_rad,temp,timestamp_local,timestamp_utc,ts,uv,vis,weather,wind_cdir,wind_cdir_full,wind_dir,wind_gust_spd,wind_spd
10,Jeddah,23.7,0,0,0,0,2020-04-18:03,16,0,0,0,272.731,n,0,0,1002.76,62,1009.06,0,0,0,23.7,2020-04-18T06:00:00,2020-04-18T03:00:00,1587178800,0,24.1353,"{'icon': 'c01n', 'code': 800, 'description': 'Clear Sky'}",N,north,6,6.50025,4.6124
11,Jeddah,23.9,0,0,0,0,2020-04-18:04,15.9,59.85,535.85,168.82,273.268,d,0,0,1003.16,61,1009.55,0,0,168.82,23.9,2020-04-18T07:00:00,2020-04-18T04:00:00,1587182400,2.35057,24.1348,"{'icon': 'c01d', 'code': 800, 'description': 'Clear Sky'}",N,north,8,6.21005,4.5098
12,Jeddah,25.1,20,20,0,0,2020-04-18:05,14.4,87.99,742.2,412.67,273.217,d,0,0,1003.64,51,1009.88,0,0,411.369,25.2,2020-04-18T08:00:00,2020-04-18T05:00:00,1587186000,2.77212,24.1351,"{'icon': 'c02d', 'code': 801, 'description': 'Few clouds'}",N,north,2,5.52976,4.53157
13,Jeddah,26.4,33,33,0,0,2020-04-18:06,13,105.75,845.2,647.22,274.207,d,0,0,1003.91,43,1010.11,0,0,636.024,26.6,2020-04-18T09:00:00,2020-04-18T06:00:00,1587189600,3.91785,24.135,"{'icon': 'c02d', 'code': 802, 'description': 'Scattered clouds'}",NNW,north-northwest,347,5.02401,4.44564
14,Jeddah,27.5,100,100,0,0,2020-04-18:07,12.1,117.42,903.86,843.33,273.705,d,0,0,1004.07,37,1010.32,0,0,210.833,28.1,2020-04-18T10:00:00,2020-04-18T07:00:00,1587193200,2.34582,24.135,"{'icon': 'c04d', 'code': 804, 'description': 'Overcast clouds'}",NNW,north-northwest,331,4.5301,4.21897
15,Jeddah,28.6,100,100,0,0,2020-04-18:08,12.2,124.52,936.58,981.4,272.64,d,0,0,1003.88,35,1010.28,0,0,245.35,29.4,2020-04-18T11:00:00,2020-04-18T08:00:00,1587196800,3.06916,24.1348,"{'icon': 'c04d', 'code': 804, 'description': 'Overcast clouds'}",NW,northwest,308,4.46252,4.73012
16,Jeddah,29.1,100,100,0,0,2020-04-18:09,13.7,127.72,950.67,1048.71,272.9,d,0,0,1003.64,38,1010.1,0,0,262.177,29.7,2020-04-18T12:00:00,2020-04-18T09:00:00,1587200400,3.4786,24.135,"{'icon': 'c04d', 'code': 804, 'description': 'Overcast clouds'}",WNW,west-northwest,298,5.00592,6.20981
17,Jeddah,29.4,100,100,0,0,2020-04-18:10,14.2,127.28,948.75,1039.26,273.515,d,0,0,1003.04,38,1009.42,0,0,259.815,29.9,2020-04-18T13:00:00,2020-04-18T10:00:00,1587204000,3.41814,24.1351,"{'icon': 'c04d', 'code': 804, 'description': 'Overcast clouds'}",WNW,west-northwest,303,6.32243,7.10904
18,Jeddah,29.2,100,100,0,0,2020-04-18:11,14.2,123.16,930.5,953.91,273.739,d,0,0,1002.02,39,1008.54,0,0,238.477,29.7,2020-04-18T14:00:00,2020-04-18T11:00:00,1587207600,2.91192,24.1349,"{'icon': 'c04d', 'code': 804, 'description': 'Overcast clouds'}",WNW,west-northwest,301,5.90067,6.99192
19,Jeddah,29.3,100,100,0,0,2020-04-18:12,14.2,115.04,892.41,800.33,273.929,d,0,0,1001.49,39,1007.95,0,0,200.083,29.8,2020-04-18T15:00:00,2020-04-18T12:00:00,1587211200,2.15147,24.1347,"{'icon': 'c04d', 'code': 804, 'description': 'Overcast clouds'}",WNW,west-northwest,303,6.81372,7.74598
20,Jeddah,29.2,3,3,0,0,2020-04-18:13,13.8,102.09,825.4,592.9,274.595,d,0,0,1000.81,38,1007.45,0,0,592.897,29.7,2020-04-18T16:00:00,2020-04-18T13:00:00,1587214800,4.44482,24.1347,"{'icon': 'c02d', 'code': 801, 'description': 'Few clouds'}",NW,northwest,310,6.41354,7.18467
21,Jeddah,29.1,50,50,0,0,2020-04-18:14,13.5,82.42,705.94,353.05,274.992,d,0,0,1000.65,37,1007.47,0,0,327.966,29.7,2020-04-18T17:00:00,2020-04-18T14:00:00,1587218400,1.90502,24.135,"{'icon': 'c03d', 'code': 803, 'description': 'Broken clouds'}",NW,northwest,315,5.72239,6.37915
22,Jeddah,28.6,67,67,0,0,2020-04-18:15,13.8,50.14,449.61,113.96,275.242,d,0,0,1000.97,40,1007.75,0,0,92.0588,29,2020-04-18T18:00:00,2020-04-18T15:00:00,1587222000,1.22057,24.1346,"{'icon': 'c03d', 'code': 803, 'description': 'Broken clouds'}",NW,northwest,325,6.44842,6.5592
23,Jeddah,27.8,75,75,0,0,2020-04-18:16,14.1,0,0,0,275.81,n,0,0,1001.64,43,1008.39,0,0,0,27.9,2020-04-18T19:00:00,2020-04-18T16:00:00,1587225600,0,24.1352,"{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'}",NNW,north-northwest,338,7.65468,6.88763
24,Jeddah,27.2,71,71,0,0,2020-04-18:17,13.4,0,0,0,275.694,n,0,0,1002.31,43,1009.02,0,0,0,27.2,2020-04-18T20:00:00,2020-04-18T17:00:00,1587229200,0,24.1351,"{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'}",NNW,north-northwest,356,7.03274,5.88884
25,Jeddah,27.1,77,77,0,0,2020-04-18:18,13.1,0,0,0,275.825,n,0,0,1002.5,42,1009.35,0,0,0,27.1,2020-04-18T21:00:00,2020-04-18T18:00:00,1587232800,0,24.1348,"{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'}",NNE,north-northeast,14,6.63483,5.3095
26,Jeddah,27,100,100,0,0,2020-04-18:19,12.1,0,0,0,275.762,n,0,0,1002.74,39,1009.35,0,0,0,27.2,2020-04-18T22:00:00,2020-04-18T19:00:00,1587236400,0,24.1349,"{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'}",NNE,north-northeast,22,5.52033,4.28151
27,Jeddah,27,100,100,0,0,2020-04-18:20,11.3,0,0,0,275.529,n,0,0,1002.42,36,1009.17,0,0,0,27.5,2020-04-18T23:00:00,2020-04-18T20:00:00,1587240000,0,24.135,"{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'}",NNE,north-northeast,32,4.30387,3.43334
28,Jeddah,27.1,100,100,0,0,2020-04-18:21,11.2,0,0,0,274.519,n,0,0,1001.84,36,1008.75,0,0,0,27.6,2020-04-19T00:00:00,2020-04-18T21:00:00,1587243600,0,24.1351,"{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'}",NE,northeast,34,3.24905,2.54534
29,Jeddah,27.1,75,75,0,0,2020-04-18:22,11.3,0,0,0,273.112,n,0,0,1001.45,36,1008.11,0,0,0,27.6,2020-04-19T01:00:00,2020-04-18T22:00:00,1587247200,0,24.1352,"{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'}",NNW,north-northwest,353,2.81299,2.5225
30,Jeddah,27.1,80,80,0,0,2020-04-18:23,11.4,0,0,0,272.885,n,0,0,1000.92,37,1007.69,0,0,0,27.5,2020-04-19T02:00:00,2020-04-18T23:00:00,1587250800,0,24.1353,"{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'}",N,north,10,2.40899,2.09314
31,Jeddah,26.9,67,67,0,0,2020-04-19:00,11.7,0,0,0,273.273,n,0,0,1000.68,38,1007.28,0,0,0,27.2,2020-04-19T03:00:00,2020-04-19T00:00:00,1587254400,0,24.135,"{'icon': 'c03n', 'code': 803, 'description': 'Broken clouds'}",NNW,north-northwest,342,2.814,2.54139
32,Jeddah,26.9,0,0,0,0,2020-04-19:01,11.9,0,0,0,273.287,n,0,0,1000.45,39,1007.09,0,0,0,27.2,2020-04-19T04:00:00,2020-04-19T01:00:00,1587258000,0,24.135,"{'icon': 'c01n', 'code': 800, 'description': 'Clear Sky'}",NNW,north-northwest,357,2.73352,2.30568
33,Jeddah,26.8,0,0,0,0,2020-04-19:02,12.1,0,0,0,274.199,n,0,0,1000.77,40,1007.39,0,0,0,26.9,2020-04-19T05:00:00,2020-04-19T02:00:00,1587261600,0,24.1349,"{'icon': 'c01n', 'code': 800, 'description': 'Clear Sky'}",NNW,north-northwest,336,3.4233,2.92001
34,Jeddah,26.1,0,0,0,0,2020-04-19:03,12.1,0,0,0,274.796,n,0,0,1001.24,41,1007.93,0,0,0,26.3,2020-04-19T06:00:00,2020-04-19T03:00:00,1587265200,0,24.1348,"{'icon': 'c01n', 'code': 800, 'description': 'Clear Sky'}",NNW,north-northwest,343,3.90463,3.39148
35,Jeddah,26.4,0,0,0,0,2020-04-19:04,11.8,60.26,539.32,171.58,274.425,d,0,0,1001.65,40,1008.34,0,0,171.58,26.6,2020-04-19T07:00:00,2020-04-19T04:00:00,1587268800,2.35197,24.135,"{'icon': 'c01d', 'code': 800, 'description': 'Clear Sky'}",NNW,north-northwest,346,3.80516,3.37798
36,Jeddah,26.9,0,0,0,0,2020-04-19:05,12.1,88.2,743.38,415.29,274.88,d,0,0,1002.26,40,1008.69,0,0,415.29,27,2020-04-19T08:00:00,2020-04-19T05:00:00,1587272400,3.22631,24.1351,"{'icon': 'c01d', 'code': 800, 'description': 'Clear Sky'}",NNW,north-northwest,340,3.75883,3.67012
37,Jeddah,27.3,17,17,0,0,2020-04-19:06,12.8,105.86,845.62,649.43,275.19,d,15,0.1875,1002.65,40,1009.06,0,0,648.252,27.6,2020-04-19T09:00:00,2020-04-19T06:00:00,1587276000,4.49817,24.1349,"{'icon': 'c02d', 'code': 801, 'description': 'Few clouds'}",NNW,north-northwest,334,3.65153,3.79692
38,Jeddah,28.2,100,100,0,0,2020-04-19:07,14.1,117.47,903.92,845.06,275.884,d,15,0.0625,1002.86,41,1009.26,0,0,211.265,28.4,2020-04-19T10:00:00,2020-04-19T07:00:00,1587279600,2.35328,24.1352,"{'icon': 'c04d', 'code': 804, 'description': 'Overcast clouds'}",NW,northwest,311,2.02799,3.54506
39,Jeddah,28.9,100,100,0,0,2020-04-19:08,15.1,124.54,936.45,982.67,276.469,d,0,0,1002.73,43,1009.27,0,0,245.667,29.1,2020-04-19T11:00:00,2020-04-19T08:00:00,1587283200,3.07508,24.135,"{'icon': 'c04d', 'code': 804, 'description': 'Overcast clouds'}",WNW,west-northwest,294,1.92961,4.03402
40,Jeddah,29.3,100,100,0,0,2020-04-19:09,16.2,127.72,950.43,1049.59,277.198,d,0,0,1002.28,46,1008.79,0,0,262.397,29.1,2020-04-19T12:00:00,2020-04-19T09:00:00,1587286800,3.48241,24.1352,"{'icon': 'c04d', 'code': 804, 'description': 'Overcast clouds'}",WNW,west-northwest,285,4.0154,5.56853
41,Jeddah,29.4,100,100,0,0,2020-04-19:10,17.1,127.27,948.46,1039.88,277.18,d,0,0,1001.56,49,1008.07,0,0,259.97,28.8,2020-04-19T13:00:00,2020-04-19T10:00:00,1587290400,3.42094,24.1352,"{'icon': 'c04d', 'code': 804, 'description': 'Overcast clouds'}",WNW,west-northwest,285,5.60039,6.50121
42,Jeddah,29.2,100,100,0,0,2020-04-19:11,17.4,123.15,930.21,954.4,277.736,d,0,0,1000.81,51,1007.14,0,0,238.6,28.6,2020-04-19T14:00:00,2020-04-19T11:00:00,1587294000,2.9127,24.1351,"{'icon': 'c04d', 'code': 804, 'description': 'Overcast clouds'}",WNW,west-northwest,285,5.53376,6.13982
43,Jeddah,28.7,100,100,0,0,2020-04-19:12,17.2,115.03,892.17,800.84,278.985,d,15,0.0625,1000.27,52,1006.31,0,0,200.21,28.1,2020-04-19T15:00:00,2020-04-19T12:00:00,1587297600,2.15047,24.1348,"{'icon': 'c04d', 'code': 804, 'description': 'Overcast clouds'}",W,west,279,4.51983,4.95892
44,Jeddah,28.7,100,100,0,5,2020-04-19:13,17,102.1,825.32,593.56,279.701,d,0,0,999.664,51,1005.94,0,0,148.39,28.2,2020-04-19T16:00:00,2020-04-19T13:00:00,1587301200,1.4048,24.1348,"{'icon': 'c04d', 'code': 804, 'description': 'Overcast clouds'}",W,west,277,3.23502,3.41599
45,Jeddah,29,100,100,0,24,2020-04-19:14,17.4,82.48,706.27,353.95,281.139,d,0,0,999.314,51,1005.82,0,0,88.4875,28.3,2020-04-19T17:00:00,2020-04-19T14:00:00,1587304800,0.897465,24.135,"{'icon': 'c04d', 'code': 804, 'description': 'Overcast clouds'}",W,west,273,2.73736,2.97708
46,Jeddah,28.8,100,100,0,16,2020-04-19:15,17.6,50.34,451.46,115.02,283.348,d,0,0,999.448,53,1005.84,0,0,28.755,28.1,2020-04-19T18:00:00,2020-04-19T15:00:00,1587308400,0.696795,24.1348,"{'icon': 'c04d', 'code': 804, 'description': 'Overcast clouds'}",WNW,west-northwest,294,2.76419,3.61687
47,Jeddah,29,100,100,0,12,2020-04-19:16,17.8,0,0,0,287.232,n,0,0,999.362,53,1006.26,0,0,0,28.2,2020-04-19T19:00:00,2020-04-19T16:00:00,1587312000,0,24.1349,"{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'}",NNW,north-northwest,336,1.00375,1.57928
48,Jeddah,29.5,80,80,0,9,2020-04-19:17,18.3,0,0,0,289.953,n,0,0,999.806,54,1006.8,0,0,0,28.5,2020-04-19T20:00:00,2020-04-19T17:00:00,1587315600,0,24.1351,"{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'}",NNW,north-northwest,331,0.60383,1.40619
49,Jeddah,29.4,67,67,0,8,2020-04-19:18,18,0,0,0,291.445,n,10,0.125,1000.42,52,1007.18,0,0,0,28.6,2020-04-19T21:00:00,2020-04-19T18:00:00,1587319200,0,24.1347,"{'icon': 'c03n', 'code': 803, 'description': 'Broken clouds'}",NNW,north-northwest,327,1.30844,2.16709
50,Jeddah,28.9,0,0,0,0,2020-04-19:19,17.7,0,0,0,292.863,n,25,0.375,1000.78,53,1007.37,0,0,0,28.1,2020-04-19T22:00:00,2020-04-19T19:00:00,1587322800,0,23.6244,"{'icon': 'c01n', 'code': 800, 'description': 'Clear Sky'}",NNW,north-northwest,335,1.00021,1.71369
51,Jeddah,28.1,0,0,0,0,2020-04-19:20,17.8,0,0,0,292.657,n,40,0.6875,1001,56,1007.37,0,0,0,27.3,2020-04-19T23:00:00,2020-04-19T20:00:00,1587326400,0,24.135,"{'icon': 'd02n', 'code': 301, 'description': 'Drizzle'}",N,north,7,1.21462,1.11353
52,Jeddah,28.4,0,0,0,0,2020-04-19:21,18.3,0,0,0,294.303,n,45,0.75,1000.34,58,1006.94,0,0,0,27.4,2020-04-20T00:00:00,2020-04-19T21:00:00,1587330000,0,3.34225,"{'icon': 'd02n', 'code': 301, 'description': 'Drizzle'}",SE,southeast,124,2.02905,1.4218
53,Jeddah,26.9,0,0,0,0,2020-04-19:22,18.9,0,0,0,293.281,n,55,1.1875,999.882,63,1006.32,0,0,0,26.5,2020-04-20T01:00:00,2020-04-19T22:00:00,1587333600,0,24.1348,"{'icon': 'r04n', 'code': 520, 'description': 'Light shower rain'}",SSE,south-southeast,148,2.30834,1.86439
54,Jeddah,26.4,0,0,0,0,2020-04-19:23,19.2,0,0,0,293.311,n,45,0.875,999.534,66,1005.95,0,0,0,26,2020-04-20T02:00:00,2020-04-19T23:00:00,1587337200,0,24.1351,"{'icon': 'd02n', 'code': 301, 'description': 'Drizzle'}",S,south,177,2.63045,1.77992
55,Jeddah,25.9,0,0,0,0,2020-04-20:00,19.3,0,0,0,293.002,n,35,0.5625,999.497,68,1005.81,0,0,0,25.5,2020-04-20T03:00:00,2020-04-20T00:00:00,1587340800,0,24.135,"{'icon': 'd02n', 'code': 301, 'description': 'Drizzle'}",SW,southwest,219,1.00973,0.873459
56,Jeddah,25.9,36,0,36,0,2020-04-20:01,19.3,0,0,0,294.755,n,30,0.4375,999.566,68,1005.98,0,0,0,25.5,2020-04-20T04:00:00,2020-04-20T01:00:00,1587344400,0,4.49171,"{'icon': 'c02n', 'code': 802, 'description': 'Scattered clouds'}",W,west,270,0.517792,0.687028
57,Jeddah,25.9,61,0,61,0,2020-04-20:02,19.1,0,0,0,296.601,n,25,0.3125,1000.17,68,1006.63,0,0,0,25.5,2020-04-20T05:00:00,2020-04-20T02:00:00,1587348000,0,24.1349,"{'icon': 'c03n', 'code': 803, 'description': 'Broken clouds'}",W,west,278,0.605261,0.812692
58,Jeddah,26.2,67,0,67,0,2020-04-20:03,19.2,0,0,0,297.4,n,15,0.0625,1000.6,67,1007.29,0,0,0,25.8,2020-04-20T06:00:00,2020-04-20T03:00:00,1587351600,0,24.1351,"{'icon': 'c03n', 'code': 803, 'description': 'Broken clouds'}",NE,northeast,42,1.0183,0.462261
59,Jeddah,26.4,62,0,62,0,2020-04-20:04,19.6,60.66,542.67,174.28,300.132,d,25,0.3125,1000.96,68,1007.64,0,0,148.55,26,2020-04-20T07:00:00,2020-04-20T04:00:00,1587355200,1.30844,24.1349,"{'icon': 'c03d', 'code': 803, 'description': 'Broken clouds'}",SSE,south-southeast,161,0.923767,0.81994
60,Jeddah,26.9,50,0,50,0,2020-04-20:05,20.1,88.39,744.51,417.85,300.905,d,30,0.4375,1001.42,68,1007.99,0,0,388.162,26.5,2020-04-20T08:00:00,2020-04-20T05:00:00,1587358800,2.07692,24.1349,"{'icon': 'c03d', 'code': 803, 'description': 'Broken clouds'}",S,south,180,2.30175,1.84227
61,Jeddah,29,41,0,41,0,2020-04-20:06,20.6,105.96,846.01,651.57,304.633,d,15,0.0625,1001.66,66,1008.35,0,0,627.993,27.3,2020-04-20T09:00:00,2020-04-20T06:00:00,1587362400,3.61535,24.1351,"{'icon': 'c03d', 'code': 803, 'description': 'Broken clouds'}",SSW,south-southwest,193,3.71524,2.89775
62,Jeddah,30.9,0,0,0,0,2020-04-20:07,20.5,117.52,903.96,846.71,308.341,d,10,0.125,1001.77,61,1008.52,0,0,846.71,28.8,2020-04-20T10:00:00,2020-04-20T07:00:00,1587366000,7.53436,24.1346,"{'icon': 'c01d', 'code': 800, 'description': 'Clear Sky'}",SSW,south-southwest,195,6.33086,4.18772
63,Jeddah,32.3,0,0,0,0,2020-04-20:08,20.4,124.55,936.3,983.87,309.925,d,15,0.0625,1001.73,56,1008.22,0,0,983.87,30.1,2020-04-20T11:00:00,2020-04-20T08:00:00,1587369600,9.85982,24.1352,"{'icon': 'c01d', 'code': 800, 'description': 'Clear Sky'}",SW,southwest,218,7.63525,6.15436
64,Jeddah,32.1,0,0,0,0,2020-04-20:09,20.7,127.71,950.18,1050.42,310.309,d,0,0,1001.5,58,1007.78,0,0,1050.42,29.7,2020-04-20T12:00:00,2020-04-20T09:00:00,1587373200,11.1712,24.1348,"{'icon': 'c01d', 'code': 800, 'description': 'Clear Sky'}",SW,southwest,231,7.41395,6.83645
65,Jeddah,30.9,0,0,0,0,2020-04-20:10,20.8,127.25,948.17,1040.45,309.704,d,15,0.0625,1001.35,62,1007.25,0,0,1040.45,28.7,2020-04-20T13:00:00,2020-04-20T10:00:00,1587376800,10.9681,24.1349,"{'icon': 'c01d', 'code': 800, 'description': 'Clear Sky'}",WSW,west-southwest,241,7.4,7.0734
66,Jeddah,29.3,3,0,3,0,2020-04-20:11,20.4,123.13,929.91,954.85,310.443,d,15,0.0625,1000.86,65,1006.62,0,0,954.845,27.5,2020-04-20T14:00:00,2020-04-20T11:00:00,1587380400,9.13148,24.135,"{'icon': 'c02d', 'code': 801, 'description': 'Few clouds'}",WSW,west-southwest,256,6.60892,6.49032
67,Jeddah,29.7,2,0,2,0,2020-04-20:12,19.5,115.01,891.92,801.32,310.564,d,0,0,1000.08,59,1006.1,0,0,801.319,28.3,2020-04-20T15:00:00,2020-04-20T12:00:00,1587384000,6.77068,24.135,"{'icon': 'c02d', 'code': 801, 'description': 'Few clouds'}",W,west,259,6.3,5.53173
68,Jeddah,29.3,0,0,0,0,2020-04-20:13,18.7,102.11,825.23,594.2,313.503,d,0,0,999.444,56,1005.51,0,0,594.2,28.2,2020-04-20T16:00:00,2020-04-20T13:00:00,1587387600,4.45262,24.135,"{'icon': 'c01d', 'code': 800, 'description': 'Clear Sky'}",W,west,264,5.42008,5.09427
69,Jeddah,28.6,0,0,0,0,2020-04-20:14,18.2,82.54,706.58,354.84,314.654,d,0,0,999.064,56,1005.29,0,0,354.84,27.6,2020-04-20T17:00:00,2020-04-20T14:00:00,1587391200,2.81477,24.135,"{'icon': 'c01d', 'code': 800, 'description': 'Clear Sky'}",W,west,274,3.40136,3.24141
70,Jeddah,28.7,0,0,0,0,2020-04-20:15,17.7,50.53,453.3,116.09,316.879,d,0,0,999.17,54,1005.52,0,0,116.09,27.9,2020-04-20T18:00:00,2020-04-20T15:00:00,1587394800,2.16485,24.1348,"{'icon': 'c01d', 'code': 800, 'description': 'Clear Sky'}",WNW,west-northwest,291,1.20622,1.19305
71,Jeddah,29.1,0,0,0,0,2020-04-20:16,17.5,0,0,0,318.814,n,0,0,999.513,51,1006.05,0,0,0,28.5,2020-04-20T19:00:00,2020-04-20T16:00:00,1587398400,0,24.1348,"{'icon': 'c01n', 'code': 800, 'description': 'Clear Sky'}",NW,northwest,311,1.04614,1.6297
72,Jeddah,28.9,0,0,0,0,2020-04-20:17,17.2,0,0,0,315.391,n,0,0,1000.44,51,1006.53,0,0,0,28.3,2020-04-20T20:00:00,2020-04-20T17:00:00,1587402000,0,24.1348,"{'icon': 'c01n', 'code': 800, 'description': 'Clear Sky'}",WNW,west-northwest,297,2.74237,3.19079
73,Jeddah,28.8,0,0,0,0,2020-04-20:18,16.7,0,0,0,315.298,n,0,0,1000.67,49,1007.08,0,0,0,28.4,2020-04-20T21:00:00,2020-04-20T18:00:00,1587405600,0,24.1351,"{'icon': 'c01n', 'code': 800, 'description': 'Clear Sky'}",NNW,north-northwest,327,2.11669,2.12165
74,Jeddah,28.9,0,0,0,0,2020-04-20:19,16.6,0,0,0,314.059,n,0,0,1001.17,49,1007.62,0,0,0,28.5,2020-04-20T22:00:00,2020-04-20T19:00:00,1587409200,0,24.1349,"{'icon': 'c01n', 'code': 800, 'description': 'Clear Sky'}",NW,northwest,322,2.92725,3.01293
75,Jeddah,28.4,0,0,0,0,2020-04-20:20,16.6,0,0,0,312.933,n,0,0,1001.64,50,1008.02,0,0,0,28,2020-04-20T23:00:00,2020-04-20T20:00:00,1587412800,0,24.135,"{'icon': 'c01n', 'code': 800, 'description': 'Clear Sky'}",NNW,north-northwest,332,3.96599,3.69954
76,Jeddah,28.2,0,0,0,0,2020-04-20:21,16.2,0,0,0,309.889,n,0,0,1001.56,49,1008.12,0,0,0,27.9,2020-04-21T00:00:00,2020-04-20T21:00:00,1587416400,0,24.1351,"{'icon': 'c01n', 'code': 800, 'description': 'Clear Sky'}",N,north,4,3.43605,3.02265
77,Jeddah,27.8,0,0,0,0,2020-04-20:22,16.1,0,0,0,309.533,n,0,0,1001.75,50,1007.98,0,0,0,27.4,2020-04-21T01:00:00,2020-04-20T22:00:00,1587420000,0,24.1347,"{'icon': 'c01n', 'code': 800, 'description': 'Clear Sky'}",NNW,north-northwest,357,1.23094,0.994328
78,Jeddah,27.6,0,0,0,0,2020-04-20:23,16.1,0,0,0,306.864,n,0,0,1001.43,51,1007.93,0,0,0,27.2,2020-04-21T02:00:00,2020-04-20T23:00:00,1587423600,0,24.1352,"{'icon': 'c01n', 'code': 800, 'description': 'Clear Sky'}",E,east,79,1.23001,0.876101
79,Jeddah,27.5,0,0,0,0,2020-04-21:00,16.1,0,0,0,304.341,n,0,0,1001.41,51,1007.99,0,0,0,27,2020-04-21T03:00:00,2020-04-21T00:00:00,1587427200,0,24.1353,"{'icon': 'c01n', 'code': 800, 'description': 'Clear Sky'}",ENE,east-northeast,76,0.610895,0.193361
80,Jeddah,27.4,0,0,0,0,2020-04-21:01,16.2,0,0,0,301.967,n,0,0,1001.76,52,1008.29,0,0,0,26.8,2020-04-21T04:00:00,2020-04-21T01:00:00,1587430800,0,24.1349,"{'icon': 'c01n', 'code': 800, 'description': 'Clear Sky'}",SSW,south-southwest,206,1.02762,0.594545
